history,w,k,detrend,min_obs_needed,auroc_vs_white_null,auroc_vs_red_null,sens_at_5pct_FA,FA_rate_red_null_at_white_thr
25,10,5,mean,14,0.5229148888888889,0.5303244444444445,0.13933333333333334,0.10666666666666667
25,10,5,linear,14,0.5121746666666667,0.4933622222222222,0.12666666666666668,0.124
25,10,10,mean,19,0.5516333333333333,0.5359962222222222,0.10133333333333333,0.066
25,10,10,linear,19,0.505852,0.5096442222222223,0.050666666666666665,0.064
25,10,15,mean,24,0.5891371111111111,0.560686,0.104,0.07333333333333333
25,10,15,linear,24,0.5213228888888889,0.528738,0.04466666666666667,0.044
25,15,5,mean,19,0.5928282222222222,0.5625171111111111,0.18666666666666668,0.13333333333333333
25,15,5,linear,19,0.534354,0.5383451111111112,0.12533333333333332,0.09866666666666667
25,15,10,mean,24,0.6414353333333334,0.5749271111111112,0.14333333333333334,0.106
25,15,10,linear,24,0.5772648888888889,0.5551931111111111,0.096,0.062
25,20,5,mean,24,0.6467631111111111,0.5967384444444445,0.226,0.13466666666666666
25,20,5,linear,24,0.5757035555555555,0.5565384444444444,0.14133333333333334,0.09933333333333333
30,10,5,mean,14,0.5388217777777777,0.5211222222222223,0.13733333333333334,0.108
30,10,5,linear,14,0.5296197777777778,0.5138593333333333,0.09933333333333333,0.11066666666666666
30,10,10,mean,19,0.5871453333333333,0.5451531111111111,0.13,0.11533333333333333
30,10,10,linear,19,0.5718948888888888,0.5162782222222222,0.094,0.09733333333333333
30,10,15,mean,24,0.620238,0.5860711111111111,0.10333333333333333,0.07933333333333334
30,10,15,linear,24,0.5757526666666667,0.5296431111111111,0.07333333333333333,0.08133333333333333
30,15,5,mean,19,0.5880275555555555,0.5674771111111111,0.17533333333333334,0.13266666666666665
30,15,5,linear,19,0.5580122222222222,0.5452286666666667,0.116,0.10066666666666667
30,15,10,mean,24,0.6248611111111111,0.6022822222222223,0.18733333333333332,0.11533333333333333
30,15,10,linear,24,0.5998342222222223,0.5544128888888888,0.10533333333333333,0.094
30,15,15,mean,29,0.6381342222222223,0.6343748888888889,0.172,0.05533333333333333
30,15,15,linear,29,0.6025157777777778,0.5826362222222222,0.10866666666666666,0.082
30,20,5,mean,24,0.6058413333333333,0.6018177777777778,0.20866666666666667,0.134
30,20,5,linear,24,0.5806033333333334,0.5624704444444445,0.14266666666666666,0.11533333333333333
30,20,10,mean,29,0.6358371111111111,0.638074,0.142,0.062
30,20,10,linear,29,0.6064866666666666,0.5885533333333334,0.116,0.07733333333333334
40,10,5,mean,14,0.5084111111111111,0.5178842222222222,0.13266666666666665,0.11466666666666667
40,10,5,linear,14,0.4936953333333333,0.48861777777777776,0.108,0.106
40,10,10,mean,19,0.5390822222222222,0.5351206666666667,0.08933333333333333,0.07666666666666666
40,10,10,linear,19,0.4995668888888889,0.4856731111111111,0.04666666666666667,0.037333333333333336
40,10,15,mean,24,0.5747124444444445,0.58535,0.10866666666666666,0.072
40,10,15,linear,24,0.5234711111111111,0.5147115555555556,0.05333333333333334,0.08266666666666667
40,15,5,mean,19,0.5443388888888889,0.5410124444444444,0.16533333333333333,0.12133333333333333
40,15,5,linear,19,0.5207315555555555,0.5169162222222222,0.11266666666666666,0.10266666666666667
40,15,10,mean,24,0.5952604444444445,0.5862786666666666,0.18333333333333332,0.10866666666666666
40,15,10,linear,24,0.5288162222222222,0.5322155555555556,0.1,0.1
40,15,15,mean,29,0.6148742222222222,0.6266415555555556,0.138,0.06733333333333333
40,15,15,linear,29,0.5482024444444444,0.5609073333333333,0.07866666666666666,0.06933333333333333
40,20,5,mean,24,0.6014162222222222,0.5966086666666667,0.194,0.12866666666666668
40,20,5,linear,24,0.5405971111111111,0.550136,0.20266666666666666,0.16466666666666666
40,20,10,mean,29,0.6348906666666667,0.6319617777777777,0.22466666666666665,0.122
40,20,10,linear,29,0.5704722222222223,0.5735368888888889,0.144,0.10933333333333334
40,20,15,mean,34,0.6637795555555556,0.6671464444444445,0.21533333333333332,0.09933333333333333
40,20,15,linear,34,0.5904335555555555,0.621104,0.12,0.06333333333333334
60,10,5,mean,14,0.5257784444444444,0.5462108888888889,0.166,0.112
60,10,5,linear,14,0.4831791111111111,0.4957928888888889,0.07666666666666666,0.078
60,10,10,mean,19,0.5305471111111111,0.5512631111111111,0.08333333333333333,0.07733333333333334
60,10,10,linear,19,0.48713955555555555,0.5104617777777778,0.06666666666666667,0.050666666666666665
60,10,15,mean,24,0.5413886666666666,0.5540271111111111,0.08666666666666667,0.051333333333333335
60,10,15,linear,24,0.5005997777777778,0.5105364444444445,0.066,0.056
60,15,5,mean,19,0.5571313333333333,0.5577331111111111,0.192,0.13333333333333333
60,15,5,linear,19,0.5124406666666667,0.5291995555555555,0.11533333333333333,0.09
60,15,10,mean,24,0.5653815555555556,0.5604626666666667,0.18933333333333333,0.116
60,15,10,linear,24,0.5032168888888889,0.5280306666666666,0.092,0.06933333333333333
60,15,15,mean,29,0.6045566666666666,0.5942157777777778,0.14466666666666667,0.07866666666666666
60,15,15,linear,29,0.52997,0.544806,0.07266666666666667,0.044
60,20,5,mean,24,0.5876426666666666,0.5872266666666667,0.2866666666666667,0.156
60,20,5,linear,24,0.5379617777777778,0.5571666666666667,0.146,0.086
60,20,10,mean,29,0.6214526666666667,0.6105015555555555,0.22533333333333333,0.11733333333333333
60,20,10,linear,29,0.5750611111111111,0.5901506666666667,0.15466666666666667,0.092
60,20,15,mean,34,0.6569924444444445,0.6458773333333333,0.20066666666666666,0.11133333333333334
60,20,15,linear,34,0.6011104444444444,0.6096848888888889,0.12,0.068
