scenario,S_B,n_boot,n_reps,delta_true,dev_frac,design,weighting,mu_B,delta_cal,delta_realized,sB_realized,p_meaningful,p_negligible,p_inconclusive,p_harm,p_meaningful_alt,p_negligible_alt,p_inconclusive_alt,p_harm_alt,mean_d_hat,sd_d_hat,mean_ci_width,cover95_nominal,cover95,mean_sensB,mean_sensE,mean_faB_eval,mean_faE_eval,p_faE_gt_1.5,p_degenerate_ci,mean_n_disc,n_events_eval,n_systems_eval,n_negyears_eval,n_systems_total,n_events_total
A_accessible_now,0.45,400,400,0.0,0.5,holdout,system,0.6985931396484375,9.1552734375e-05,0.0050000000000000044,0.46166666666666667,0.0125,0.1775,0.8,0.01,0.0125,0.1775,0.8,0.01,-0.005928571428571426,0.06234431789433408,0.2123607142857142,0.9475,0.8525,0.4526428571428572,0.44671428571428573,1.0102325479621022,1.006325934980712,0.0025,0.0075,4.4075,35.0,168.0,1928.3425,337,70
A_accessible_now,0.45,400,400,0.0,0.5,holdout,dataset,0.7893218994140625,0.100616455078125,0.011524509261085614,0.45373148324265755,0.0175,0.205,0.7675,0.01,0.0275,0.205,0.7575,0.01,0.006406926406926411,0.07520782293932805,0.21087950937950933,0.9275,0.865,0.4543037518037518,0.46071067821067824,1.009706337725707,1.006375271099026,0.0025,0.0025,4.59,35.0,168.0,1928.3425,337,70
A_accessible_now,0.45,400,400,0.0,0.6,cv5,system,0.6985931396484375,9.1552734375e-05,0.0050000000000000044,0.46166666666666667,0.0,0.68,0.275,0.045,0.0075,0.68,0.2675,0.045,-0.009428571428571429,0.04280196949803651,0.15638124999999994,0.94,0.9025,0.4488214285714286,0.43939285714285714,0.9960053308274243,0.9961742759105396,0.0,0.0,8.565,70.0,337.0,3895.715,337,70
A_accessible_now,0.45,400,400,0.05,0.5,holdout,system,0.6985931396484375,0.425811767578125,0.04500000000000004,0.46166666666666667,0.0925,0.065,0.8425,0.0,0.0925,0.065,0.8425,0.0,0.04642857142857142,0.06280162245457281,0.21927321428571425,0.9075,0.9075,0.4526428571428572,0.4990714285714285,1.0102325479621022,1.0065315736524414,0.0025,0.0025,4.68,35.0,168.0,1928.3425,337,70
A_accessible_now,0.45,400,400,0.0,0.6,cv5,dataset,0.7893218994140625,0.100616455078125,0.011524509261085614,0.45373148324265755,0.03,0.595,0.3425,0.0325,0.0375,0.595,0.335,0.0325,0.001768675123326289,0.05993602778678595,0.18510690186751227,0.9225,0.88,0.4506606765327696,0.4524293516560958,0.9960312196020815,0.9964146450640432,0.0,0.0,8.7125,70.0,337.0,3895.715,337,70
A_accessible_now,0.45,400,400,0.05,0.5,holdout,dataset,0.7893218994140625,0.492828369140625,0.05996754376007607,0.45373148324265755,0.0925,0.115,0.79,0.0025,0.1125,0.115,0.77,0.0025,0.052056277056277064,0.07918057728218322,0.22257196969696963,0.8575,0.8575,0.4543037518037518,0.5063600288600288,1.009706337725707,1.0061851183648187,0.0025,0.0025,4.845,35.0,168.0,1928.3425,337,70
A_accessible_now,0.45,400,400,0.05,0.6,cv5,system,0.6985931396484375,0.425811767578125,0.04500000000000004,0.46166666666666667,0.0725,0.275,0.6525,0.0,0.16,0.275,0.565,0.0,0.043321428571428566,0.0417421341008842,0.1591205357142857,0.9375,0.9375,0.4488214285714286,0.49214285714285716,0.9960053308274243,0.9965317812981184,0.0,0.0,9.0275,70.0,337.0,3895.715,337,70
A_accessible_now,0.45,400,400,0.1,0.5,holdout,system,0.6985931396484375,0.861602783203125,0.09933333333333338,0.46166666666666667,0.3025,0.0125,0.685,0.0,0.3025,0.0125,0.685,0.0,0.10035714285714287,0.06491910587339567,0.23341607142857135,0.9275,0.9275,0.4526428571428572,0.5529999999999999,1.0102325479621022,1.0057545732551716,0.0025,0.0025,5.4775,35.0,168.0,1928.3425,337,70
A_accessible_now,0.45,400,400,0.05,0.6,cv5,dataset,0.7893218994140625,0.492828369140625,0.05996754376007607,0.45373148324265755,0.1525,0.3775,0.4675,0.0025,0.27,0.3775,0.35,0.0025,0.04673643410852714,0.064493455791502,0.19182231324876672,0.8475,0.835,0.4506606765327696,0.49739711064129666,0.9960312196020815,0.9968879873704252,0.0,0.0,9.195,70.0,337.0,3895.715,337,70
A_accessible_now,0.45,400,400,0.1,0.6,cv5,system,0.6985931396484375,0.861602783203125,0.09933333333333338,0.46166666666666667,0.4325,0.0525,0.515,0.0,0.5575,0.0525,0.39,0.0,0.09660714285714285,0.044688394247619466,0.1695508928571428,0.925,0.9325,0.4488214285714286,0.5454285714285715,0.9960053308274243,0.9966703040244592,0.0,0.0,10.6075,70.0,337.0,3895.715,337,70
